code,name
BCRD,British Columbia Regional District
C,City / Cité
CC,Chartered community
CG,Community government
CT,Canton (municipalité de)
CU,Cantons unis (municipalité de)
CV,City / Ville
CY,City
DM,District municipality
FD,Fire District
HAM,Hamlet
IM,Island municipality
M,Municipality / Municipalité
MD,Municipal district
MU,Municipality
MÉ,Municipalité
NH,Northern hamlet
NV,Northern village
P,Parish / Paroisse (municipalité de)
PE,Paroisse (municipalité de)
RCR,Rural community / Communauté rurale
RGM,Regional municipality
RM,Rural municipality
RV,Resort village
S-É,Indian settlement / Établissement indien
SA,Special area
SG,Self-government / Autonomie gouvernementale
SM,Specialized municipality
SV,Summer village
SÉ,Settlement / Établissement
T,Town
TP,Township
TV,Town / Ville
V,Ville
VC,Village cri
VK,Village naskapi
VL,Village
VN,Village nordique
