"","region","name","level","pop","municipal_status","CMA_UID","CD_UID","PR_UID"
"1","3520005","Toronto","CSD",2794356,"C","35535","3520","35"
"2","2466023","Montréal","CSD",1762949,"V","24462","2466","24"
"3","4806016","Calgary","CSD",1306784,"CY","48825","4806","48"
"4","3506008","Ottawa","CSD",1017449,"CV","505","3506","35"
"5","4811061","Edmonton","CSD",1010899,"CY","48835","4811","48"
"6","4611040","Winnipeg","CSD",749607,"CY","46602","4611","46"
"7","3521005","Mississauga","CSD",717961,"CY","35535","3521","35"
"8","5915022","Vancouver","CSD",662248,"CY","59933","5915","59"
"9","3521010","Brampton","CSD",656480,"CY","35535","3521","35"
"10","3525005","Hamilton","CSD",569353,"C","35537","3525","35"
"11","5915004","Surrey","CSD",568322,"CY","59933","5915","59"
"12","2423027","Québec","CSD",549459,"V","24421","2423","24"
"13","1209034","Halifax","CSD",439819,"RGM","12205","1209","12"
"14","2465005","Laval","CSD",438366,"V","24462","2465","24"
"15","3539036","London","CSD",422324,"CY","35555","3539","35"
"16","3519036","Markham","CSD",338503,"CY","35535","3519","35"
"17","3519028","Vaughan","CSD",323103,"CY","35535","3519","35"
"18","2481017","Gatineau","CSD",291041,"V","505","2481","24"
"19","4711066","Saskatoon","CSD",266141,"CY","47725","4711","47"
"20","3530013","Kitchener","CSD",256885,"CY","35541","3530","35"
"21","2458227","Longueuil","CSD",254483,"V","24462","2458","24"
"22","5915025","Burnaby","CSD",249125,"CY","59933","5915","59"
"23","3537039","Windsor","CSD",229660,"CY","35559","3537","35"
"24","4706027","Regina","CSD",226404,"CY","47705","4706","47"
"25","3524001","Oakville","CSD",213759,"T","35535","3524","35"
"26","5915015","Richmond","CSD",209937,"CY","59933","5915","59"
"27","3519038","Richmond Hill","CSD",202022,"T","35535","3519","35"
"28","3524002","Burlington","CSD",186948,"CY","35537","3524","35"
"29","3518013","Oshawa","CSD",175383,"CY","35532","3518","35"
"30","2443027","Sherbrooke","CSD",172950,"V","24433","2443","24"
"31","3553005","Greater Sudbury / Grand Sudbury","CSD",166004,"CV","35580","3553","35"
"32","5909052","Abbotsford","CSD",153524,"CY","59932","5909","59"
"33","2425213","Lévis","CSD",149683,"V","24421","2425","24"
"34","5915034","Coquitlam","CSD",148625,"CY","59933","5915","59"
"35","3543042","Barrie","CSD",147829,"CY","35568","3543","35"
"36","2494068","Saguenay","CSD",144723,"V","24408","2494","24"
"37","5935010","Kelowna","CSD",144576,"CY","59915","5935","59"
"38","3523008","Guelph","CSD",143740,"CY","35550","3523","35"
"39","2437067","Trois-Rivières","CSD",139163,"V","24442","2437","24"
"40","3518009","Whitby","CSD",138501,"T","35532","3518","35"
"41","3530010","Cambridge","CSD",138479,"CY","35541","3530","35"
"42","3526053","St. Catharines","CSD",136803,"CY","35539","3526","35"
"43","3524009","Milton","CSD",132979,"T","35535","3524","35"
"44","5915001","Langley","CSD",132603,"DM","59933","5915","59"
"45","3510010","Kingston","CSD",132485,"CY","35521","3510","35"
"46","3518005","Ajax","CSD",126666,"T","35535","3518","35"
"47","3530016","Waterloo","CSD",121436,"CY","35541","3530","35"
"48","2464008","Terrebonne","CSD",119944,"V","24462","2464","24"
"49","5917021","Saanich","CSD",117735,"DM","59935","5917","59"
"50","1001519","St. John's","CSD",110525,"CY","10001","1001","10"
"51","3558004","Thunder Bay","CSD",108843,"CY","35595","3558","35"
"52","5915011","Delta","CSD",108455,"CY","59933","5915","59"
"53","3529006","Brantford","CSD",104688,"CY","35543","3529","35"
"54","3536020","Chatham-Kent","CSD",103988,"MU","35556","3536","35"
"55","3518017","Clarington","CSD",101427,"MU","35532","3518","35"
