census_subdivision_id,province_id,municipality_name,type,province,status,downloaded,found,years,needs_reparse,notes,last_updated,page_url
5941005,59,100 Mile House,District,British Columbia,OK,1,1,1,YES,Low year count,2025-12-15 21:14:52,https://www.100milehouse.com/government-bylaws/reports-documents
5909052,59,Abbotsford,City,British Columbia,OK,16,16,15,NO,,2025-12-15 23:03:00,https://www.abbotsford.ca/city-hall/finance
BC_RD_01,59,Alberni-Clayoquot,Regional District,British Columbia,OK,11,21,11,NO,,2025-12-15 21:14:52,https://www.acrd.bc.ca/financial-statements
5943008,59,Alert Bay,Village,British Columbia,OK,14,17,14,NO,,2025-12-15 21:14:53,https://alertbay.civicweb.net/filepro/documents/124/
5915038,59,Anmore,Village,British Columbia,FAIL,0,0,0,YES,No annual reports found,2025-12-15 21:14:54,https://anmore.com/village-hall/reports-plans/
5937028,59,Armstrong,City,British Columbia,OK,19,27,21,NO,,2025-12-15 21:14:56,https://armstrong.civicweb.net/filepro/documents/30662/
5933019,59,Ashcroft,Village,British Columbia,OK,10,10,10,NO,,2025-12-15 21:14:58,https://ashcroftbc.ca/governance/reports-plans-documents/reports/
5933074,59,Barriere,District,British Columbia,OK,2,2,2,YES,Low year count,2025-12-15 21:14:59,https://www.barriere.ca/p/finance
5915036,59,Belcarra,Village,British Columbia,OK,1,6,1,YES,Low year count,2025-12-15 21:15:00,https://www.burnaby.ca/our-city/financial-and-annual-reports
5915062,59,Bowen Island,Island Municipality,British Columbia,OK,11,11,11,NO,,2025-12-15 21:15:01,https://bowenislandmunicipality.ca/our-government/departments/finance/financial-reports/
BC_RD_02,59,Bulkley-Nechako,Regional District,British Columbia,FAIL,0,0,0,YES,No annual reports found,2025-12-15 21:15:02,https://www.rdbn.bc.ca/departments/finance/reports
5915025,59,Burnaby,City,British Columbia,OK,1,6,1,YES,Low year count,2025-12-15 21:15:03,https://www.burnaby.ca/our-city/financial-and-annual-reports
5951022,59,Burns Lake,Village,British Columbia,OK,8,13,8,NO,,2025-12-15 21:15:04,https://www.burnslake.ca/local-government/admin-finance
5933024,59,Cache Creek,Village,British Columbia,FAIL,0,0,0,YES,No annual reports found,2025-12-15 21:15:04,https://cachecreek.ca/reports
5924034,59,Campbell River,City,British Columbia,OK,14,23,14,NO,,2025-12-15 21:15:04,https://www.campbellriver.ca/financial-plans-and-reports
5901043,59,Canal Flats,Village,British Columbia,OK,3,8,3,YES,Low year count,2025-12-15 21:15:05,https://canalflats.civicweb.net/filepro/documents/2266/
