census_subdivision_id,province_id,province,type,municipality,year,source_page_url,document_url,document_path
5941005,59,British Columbia,District,100 Mile House,2024,https://www.100milehouse.com/government-bylaws/reports-documents,https://www.100milehouse.com/sites/default/files/2025-05/2024_District_Annual_Report_0.pdf,lake/59/5941005/financial_statement_2024.pdf
5909052,59,British Columbia,City,Abbotsford,2024,https://www.abbotsford.ca/city-hall/finance,https://www.abbotsford.ca/sites/default/files/2025-06/2024%20Annual%20Report.pdf,lake/59/5909052/financial_statement_2024.pdf
5909052,59,British Columbia,City,Abbotsford,2023,https://www.abbotsford.ca/city-hall/finance,https://www.abbotsford.ca/sites/default/files/2024-06/Annual%20Report%202023_Consolidated%20Financial%20Statements.pdf,lake/59/5909052/financial_statement_2023.pdf
5909052,59,British Columbia,City,Abbotsford,2022,https://www.abbotsford.ca/city-hall/finance,https://www.abbotsford.ca/sites/default/files/2023-05/Annual%20Report%202022_Consolidated%20Financial%20Statements.pdf,lake/59/5909052/financial_statement_2022.pdf
5909052,59,British Columbia,City,Abbotsford,2021,https://www.abbotsford.ca/city-hall/finance,https://www.abbotsford.ca/sites/default/files/2022-05/2021%20Consolidated%20Financial%20Statements.pdf,lake/59/5909052/financial_statement_2021.pdf
5909052,59,British Columbia,City,Abbotsford,2020,https://www.abbotsford.ca/city-hall/finance,https://www.abbotsford.ca/sites/default/files/2021-05/Annual%20Report%202020_Consolidated%20Financial%20Statements%20Web.pdf,lake/59/5909052/financial_statement_2020.pdf
5909052,59,British Columbia,City,Abbotsford,2019,https://www.abbotsford.ca/city-hall/finance,https://www.abbotsford.ca/sites/default/files/2021-02/2019%20Consolidated%20Financial%20Statements.pdf,lake/59/5909052/financial_statement_2019.pdf
5909052,59,British Columbia,City,Abbotsford,2018,https://www.abbotsford.ca/city-hall/finance,https://www.abbotsford.ca/sites/default/files/2021-02/2018%20Financial%20Statements.pdf,lake/59/5909052/financial_statement_2018.pdf
5909052,59,British Columbia,City,Abbotsford,2017,https://www.abbotsford.ca/city-hall/finance,https://www.abbotsford.ca/sites/default/files/2021-02/2017%20financial%20statements-min.pdf,lake/59/5909052/financial_statement_2017.pdf
5909052,59,British Columbia,City,Abbotsford,2016,https://www.abbotsford.ca/city-hall/finance,https://www.abbotsford.ca/sites/default/files/2021-02/2016%20Financial%20Statements.pdf,lake/59/5909052/financial_statement_2016.pdf
5909052,59,British Columbia,City,Abbotsford,2015,https://www.abbotsford.ca/city-hall/finance,https://www.abbotsford.ca/sites/default/files/2021-02/2015%20Financial%20Statements-min.pdf,lake/59/5909052/financial_statement_2015.pdf
5909052,59,British Columbia,City,Abbotsford,2014,https://www.abbotsford.ca/city-hall/finance,https://www.abbotsford.ca/sites/default/files/2021-02/2014%20Year-end%20Financial%20Statements%20City%20of%20Abbotsford.pdf,lake/59/5909052/financial_statement_2014.pdf
5909052,59,British Columbia,City,Abbotsford,2013,https://www.abbotsford.ca/city-hall/finance,https://www.abbotsford.ca/sites/default/files/2021-02/2013%20Financial%20Statement.pdf,lake/59/5909052/financial_statement_2013.pdf
5909052,59,British Columbia,City,Abbotsford,2012,https://www.abbotsford.ca/city-hall/finance,https://www.abbotsford.ca/sites/default/files/2021-02/2012%20Financial%20Statements.pdf,lake/59/5909052/financial_statement_2012.pdf
5909052,59,British Columbia,City,Abbotsford,2011,https://www.abbotsford.ca/city-hall/finance,https://www.abbotsford.ca/sites/default/files/2021-02/2011%20Financial%20Statements.pdf,lake/59/5909052/financial_statement_2011.pdf
